Name,Category,Price,Description,OriginalPrice,OfferDescription,IsCashOffer,ImageUrl,IsFeatured
LIMZUL JABON POLVO  400 G,Varios,38694,varios,38694,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ALA JABON POLVO 3KG,Varios,60369,varios,60369,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
MAGISTRAL DETERGENTE X 750ML,Varios,95257,varios,95257,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
CUARTO DE VACA,Varios,10500,varios,10500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
CESIBON CHANTILLY 1 LTS,Varios,79500,varios,79500,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
LECHE COTAPA X 800,Varios,68765,varios,68765,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
ARCOR SERRANAS SANDWICH X 112G,Varios,30104,varios,30104,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
BRUGGEMAN LEVADURA SECA INST. 125G,Varios,36113,varios,36113,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
HARINA LEUDANTE FLORENCIA X 1 K.,Varios,8247,varios,8247,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
COLGATE TRIPLE ACCION,Varios,45350,varios,45350,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
PAPEL VUAL MAX 80 MT X 24 UNID.,Varios,23155,varios,23155,varios,FALSE,https://images.unsplash.com/photo-1516035069371-29a1b244cc32?auto=format&fit=crop&w=500&q=80,TRUE
